month,Year,num_days,push_shows,popup_shows,overall_sale_shows,banner_taps,num_users_seen,num_no_pro,shows_per_user,num_purchases,conv_purchase,revenue_push,revenue_banner,revenue_popup,revenue_other_sale,revenue,revenue_per_user,revenue_per_show,revenue_per_push,CPM
8,2023,10,16533,0,1139700,7687,374828,559324,"3,040594619",2854,"0,7614159028",18855,7275,,128835,154965,"0,4134296264","0,1359699921","1,14044638","135,9699921"
6,2023,5,10159,0,511964,4867,217984,330001,"2,348631092",2796,"1,282662948",9650,4300,,97440,111390,"0,5110008074","0,2175738919","0,9498966434","217,5738919"
7,2024,8,16110,876081,948169,1,305564,451043,"3,103012789",931,"0,3046824888",9080,6005,80080,3405,98570,"0,3225838122","0,1039582606","0,5636250776","103,9582606"
7,2023,5,10228,0,487812,4505,264243,363985,"1,846073501",2154,"0,8151587743",8930,1970,,84375,95275,"0,360558274","0,1953108985","0,8730934689","195,3108985"
5,2023,5,7326,0,534218,479,215966,348470,"2,473620848",2237,"1,035811193",6490,10430,,76965,93885,"0,4347212061","0,1757428615","0,8858858859","175,7428615"
6,2024,6,10671,622136,671516,0,252208,365433,"2,662548373",838,"0,3322654317",7515,7935,74170,1935,91555,"0,3630138616","0,1363407573","0,7042451504","136,3407573"
7,2024,6,11970,649207,701890,0,272973,399437,"2,571279943",872,"0,3194455129",5225,1945,79145,2335,88650,"0,3247573936","0,1263018422","0,4365079365","126,3018422"
8,2024,6,18455,697217,766771,0,294820,402120,"2,600810664",748,"0,2537141307",11205,5630,68455,1465,86755,"0,2942642969","0,1131432983","0,6071525332","113,1432983"
7,2023,5,9712,0,448969,3829,241959,372160,"1,855558173",1922,"0,7943494559",7970,6050,,69430,83450,"0,3448931431","0,1858702939","0,8206342669","185,8702939"
3,2024,6,11648,316541,376724,3103,205408,292006,"1,834027886",1019,"0,4960858389",7235,9495,51495,4735,72960,"0,3551955133","0,1936696361","0,6211366758","193,6696361"
11,2023,6,10940,281344,338780,3763,196927,293090,"1,720332915",1278,"0,6489714463",12525,555,50420,4515,68015,"0,3453817912","0,2007645079","1,14488117","200,7645079"
6,2023,3,6154,0,199102,4722,135691,223462,"1,467319129",1855,"1,367076667",13460,5470,,47230,66160,"0,487578395","0,332291991","2,18719532","332,291991"
2,2024,6,8326,276533,326114,2818,189559,290888,"1,720382572",969,"0,5111864907",7760,8590,44965,3790,65105,"0,343455072","0,1996387766","0,9320201778","199,6387766"
9,2023,5,6665,0,518130,3918,233168,317798,"2,222131682",1169,"0,501355246",6040,1630,,52940,60610,"0,2599413299","0,1169783645","0,9062265566","116,9783645"
1,2024,6,9492,356531,416832,3151,209755,301550,"1,987232724",885,"0,4219208124",7870,705,45030,4980,58585,"0,2793020429","0,1405482305","0,8291192583","140,5482305"
10,2023,6,12294,0,627043,3830,240088,341458,"2,611721535",1027,"0,4277598214",8675,640,,47380,56695,"0,2361425811","0,09041644672","0,705628762","90,41644672"
4,2024,5,8987,314643,350166,1865,205982,299746,"1,699983494",494,"0,239826781",5510,5300,40405,2290,53505,"0,2597557068","0,1527989582","0,6131078224","152,7989582"
5,2024,5,8550,327937,365522,2236,211098,326447,"1,731527537",523,"0,2477522288",3430,30,43935,4580,51975,"0,2462126595","0,1421939035","0,4011695906","142,1939035"
9,2023,5,8109,0,322375,2618,207995,289313,"1,549917065",917,"0,4408759826",6985,1035,,41760,49780,"0,2393326763","0,1544164405","0,8613885806","154,4164405"
10,2023,5,7057,0,413749,2998,212099,290557,"1,95073527",905,"0,4266875374",5545,860,,41995,48400,"0,2281953239","0,1169791347","0,7857446507","116,9791347"
3,2024,5,7979,253812,285246,1739,180977,283881,"1,576145035",480,"0,2652270731",4550,4780,35280,2350,46960,"0,2594804865","0,1646298283","0,5702468981","164,6298283"
5,2024,5,8314,284793,319904,3035,190870,306823,"1,676030806",478,"0,2504322314",4110,280,37935,3410,45735,"0,2396133494","0,1429647644","0,4943468848","142,9647644"
4,2024,5,4124,255626,280486,1301,180734,284191,"1,551927142",427,"0,2362588113",2705,3865,34195,2070,42835,"0,2370057654","0,1527170697","0,6559165858","152,7170697"
12,2023,6,9995,161231,217017,2868,113737,273401,"1,908059822",578,"0,508189947",6175,430,23420,12735,42760,"0,3759550542","0,1970352553","0,6178089045","197,0352553"
8,2023,5,8394,0,493730,4016,246811,362694,"2,000437582",884,"0,3581688012",6360,2460,,33715,42535,"0,172338348","0,08615032508","0,75768406","86,15032508"
2,2023,5,6724,0,172546,0,146601,251665,"1,176976965",983,"0,6705274862",8120,12515,,21600,42235,"0,288094897","0,2447753063","1,207614515","244,7753063"
12,2023,6,10630,207039,274549,3642,144666,286421,"1,897812893",550,"0,3801860838",4270,1495,21920,14350,42035,"0,2905658551","0,1531056387","0,4016933208","153,1056387"
6,2024,5,0,89741,126372,0,91648,353395,"1,378884427",411,"0,4484549581",,9190,14465,15700,39355,"0,4294147172","0,311421834",,"311,421834"
2,2024,5,6681,222226,284027,2320,164639,245741,"1,725150177",388,"0,2356671263",4520,3770,25915,4895,39100,"0,2374892948","0,1376629687","0,6765454273","137,6629687"
4,2023,5,16033,0,94991,0,34072,276789,"2,787949049",815,"2,391993426",8520,12770,,13550,34840,"1,022540502","0,3667715889","0,5314039793","366,7715889"
2,2023,7,10233,0,132117,0,108194,308043,"1,221112076",674,"0,6229550622",7260,9550,,16920,33730,"0,3117548108","0,2553040108","0,7094693638","255,3040108"
7,2023,4,2802,0,84424,1436,51310,311047,"1,645371273",668,"1,30189047",3730,680,,24720,29130,"0,5677255896","0,3450440633","1,331192006","345,0440633"
11,2023,4,4953,190733,226686,1519,160665,248246,"1,41092335",304,"0,1892135811",3195,440,20640,3230,27505,"0,1711947219","0,1213352391","0,6450635978","121,3352391"
1,2023,5,5091,0,30513,0,19269,249475,"1,583527946",635,"3,295448648",5860,12260,,7650,25770,"1,337381286","0,8445580572","1,151050874","844,5580572"
3,2023,4,8192,0,41178,0,26950,232124,"1,527940631",529,"1,962894249",4450,8100,,9270,21820,"0,8096474954","0,5298946039","0,5432128906","529,8946039"
3,2023,4,6123,0,33281,0,22116,239327,"1,504838126",423,"1,912642431",2790,6340,,6800,15930,"0,7202930005","0,4786514828","0,4556589907","478,6514828"
1,2023,4,543,0,26056,0,16245,201922,"1,603939674",238,"1,465066174",150,5350,,7000,12500,"0,7694675285","0,4797359533","0,2762430939","479,7359533"
