overall_sale_shows,revenue
"1 139 700,00","154 965,00"
"511 964,00","111 390,00"
"948 169,00","98 570,00"
"487 812,00","95 275,00"
"534 218,00","93 885,00"
"671 516,00","91 555,00"
"701 890,00","88 650,00"
"766 771,00","86 755,00"
"448 969,00","83 450,00"
"376 724,00","72 960,00"
"338 780,00","68 015,00"
"199 102,00","66 160,00"
"326 114,00","65 105,00"
"518 130,00","60 610,00"
"416 832,00","58 585,00"
"627 043,00","56 695,00"
"350 166,00","53 505,00"
"365 522,00","51 975,00"
"322 375,00","49 780,00"
"413 749,00","48 400,00"
"285 246,00","46 960,00"
"319 904,00","45 735,00"
"280 486,00","42 835,00"
"217 017,00","42 760,00"
"493 730,00","42 535,00"
"172 546,00","42 235,00"
"274 549,00","42 035,00"
"126 372,00","39 355,00"
"284 027,00","39 100,00"
"94 991,00","34 840,00"
"132 117,00","33 730,00"
"84 424,00","29 130,00"
"226 686,00","27 505,00"
"30 513,00","25 770,00"
"41 178,00","21 820,00"
"33 281,00","15 930,00"
"26 056,00","12 500,00"
